명칭,전화번호,주소,개요,규모,수용 가능 인원,객실 수,객실 유형,주차 가능,조리 가능,체크인,체크아웃,예약 안내,예약안내 홈페이지,픽업서비스,식음료장,공용 샤워실,상세정보,환불규정
하이서울유스호스텔,개인 02-2677-1779<br />단체 02-2677-1744,서울특별시 영등포구 영신로 200,"서울에서 시작되는 유스호스텔의 새로운 기준
하이서울유스호스텔은 세계적 관광도시인 서울 방문객의 편안한 휴식과 복합문화교류를 위한 최상의 시설과 서비스를 제공한다.지하철 2·5호선의 편리한 대중교통과 95개의 객실/ 대강당/ 회의실/ 세미나실 등 여러 부대시설을 갖추고 있어 여행은 물론/ 수련회/ 행사와 같은 다양한 활동에 적합하다.무엇보다/ 다채롭고 활발한 문화 활동 프로그램을 제공하여 서울과 세계인을 이어주고/ 아름다운 추억과 편안한 휴식을 선사한다.<br>",지하 1층 ~ 지상 7층,330명,95실,스탠다드룸/ 패밀리룸/ 유스룸,가능,가능(일부 객실),14:00,익일 10:00,개인 02-2677-1779<br />단체 02-2677-1744,"<a href=""http://www.hiseoulyh.com"" target=""_blank"" title=""새창 : 하이서울유스호스텔 홈페이지로 이동"">http://www.hiseoulyh.com</a>",nan,레스토랑/ 취사장/ 카페,없음,"객실명:스탠다드룸 싱글
객실크기:7평
객실수:0
기준인원:1최대인원:0
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:57200(성수기: 0)
비수기주말최소:57200(성수기: 0)
목욕시설:욕조:홈시어터:에어컨:TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:소파:취사용품:테이블:드라이기:Y
객실명:스탠다드룸 트윈
객실크기:9평
객실수:0
기준인원:2최대인원:0
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:80300(성수기: 0)
비수기주말최소:80300(성수기: 0)
목욕시설:욕조:홈시어터:에어컨:TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:소파:취사용품:테이블:드라이기:Y
객실명:스탠다드룸 트리플
객실크기:9평
객실수:0
기준인원:3최대인원:0
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:90200(성수기: 0)
비수기주말최소:90200(성수기: 0)
목욕시설:욕조:홈시어터:에어컨:TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:소파:취사용품:테이블:드라이기:Y
객실명:스탠다드룸 쿼드
객실크기:9평
객실수:0
기준인원:4최대인원:0
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:100100(성수기: 0)
비수기주말최소:100100(성수기: 0)
목욕시설:욕조:홈시어터:에어컨:TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:소파:취사용품:테이블:드라이기:Y
객실명:유스룸 6인실(침대/온돌)
객실크기:10평
객실수:0
기준인원:6최대인원:0
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:132000(성수기: 0)
비수기주말최소:132000(성수기: 0)
목욕시설:욕조:홈시어터:에어컨:TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:소파:취사용품:테이블:드라이기:Y
객실명:유스룸 10인실(침대/온돌)
객실크기:16평
객실수:0
기준인원:10최대인원:0
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:198000(성수기: 0)
비수기주말최소:198000(성수기: 0)
목욕시설:욕조:홈시어터:에어컨:TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:소파:취사용품:테이블:드라이기:Y
객실명:패밀리룸 원룸형
객실크기:9평
객실수:0
기준인원:4최대인원:0
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:100100(성수기: 0)
비수기주말최소:100100(성수기: 0)
목욕시설:욕조:홈시어터:에어컨:TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:소파:취사용품:테이블:드라이기:Y
객실명:패밀리룸 콘도 
객실크기:16평
객실수:0
기준인원:4최대인원:6
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:140800(성수기: 0)
비수기주말최소:140800(성수기: 0)
목욕시설:욕조:홈시어터:에어컨:TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:Y
객실명:패밀리룸 디럭스
객실크기:16평
객실수:0
기준인원:6최대인원:8
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:140800(성수기: 0)
비수기주말최소:140800(성수기: 0)
목욕시설:욕조:홈시어터:에어컨:TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:Y
객실명:패밀리룸 스위트
객실크기:16평
객실수:0
기준인원:2최대인원:4
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:140800(성수기: 0)
비수기주말최소:140800(성수기: 0)
목욕시설:욕조:홈시어터:에어컨:TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:Y
",nan
몽산펜션,010-9722-6061,충청남도 태안군 남면 몽산포길 112-38,"몽산펜션은 충남 서해안에 있는 몽산포해수욕장과 도보로 약 3~5분 거리에 있는 펜션으로 바쁘고 복잡하게 돌아가는 일상에서 벗어나 맑은 공기를 마시며 편안한 여행을 하시고 싶은 이들을 위한 전원 속의 펜션이다.
몽산 펜션을 찾아 서해안의 신비 ""갯벌 체험 ""도 즐겨 보고/ 도시의 빡빡함을 벗어나 전원의 한가로움 속에서 사랑하는 가족/ 친구/ 연인과 더욱 가까워질 수 있는 시간을 가져볼 수 있다.",2층,nan,7실,온돌형/ 침대형/ 복층형,가능,가능,15:00,익일 11:00,nan,nan,가능(사전문의),nan,없음,"객실명:102호
객실크기:12평
객실수:0
기준인원:4최대인원:6
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:80000(성수기: 120000)
비수기주말최소:100000(성수기: 189000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:Y
객실명:201호/202호/203호(복층)
객실크기:12평
객실수:0
기준인원:4최대인원:6
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:100000(성수기: 140000)
비수기주말최소:120000(성수기: 199000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:Y
객실명:101호(복층)
객실크기:17평
객실수:0
기준인원:6최대인원:8
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:130000(성수기: 170000)
비수기주말최소:150000(성수기: 230000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:Y
객실명:103호/105호
객실크기:12평
객실수:0
기준인원:4최대인원:6
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:80000(성수기: 120000)
비수기주말최소:100000(성수기: 189000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:Y
",nan
수펜션,041-673-2884,충청남도 태안군 고남면 가경주길 87-6,"충남 태안군 고남면 고남3리에 위치한 수펜션은 바다가 한눈에 펼쳐진  펜션이다.  총 3개의 객실로 30명의 인원이 수용 가능하며 오후 2시에 입실하여 오전 11시에 퇴실 가능하다. 
각 객실에는 목욕시설/ 에어컨/ TV/ 테이블/ 화장대/ 케이블방송/ 주방기구/ 취사도구가 구비되어 있어 최고의 시설을 자랑한다. 그 밖에도 바비큐 파티를 할 수 있는 부대시설과 갯벌체험을 할 수 있다.",2층,nan,3실,원룸형/ 거실+객실 분리형,가능,가능,14:00,익일 11:00,041-673-2884,nan,nan,nan,없음,"객실명:103호
객실크기:20평
객실수:0
기준인원:8최대인원:10
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:Y
취사용품:Y
테이블:Y
드라이기:객실명:101호
객실크기:8평
객실수:0
기준인원:4최대인원:5
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:객실명:102호
객실크기:8평
객실수:0
기준인원:4최대인원:5
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:",nan
수평선펜션,010-8668-7858,충청남도 태안군 고남면 큰장돌길 283-47,"충남 태안군 고남면 장곡리에 위치한 수평선펜션은 하늘스케치북이 그려내는  풍경과 노을/ 소나무 그늘 아래 까치/ 풀벌레 소리 정겹고 바다가 보이는 그네에 앉아 바다가 전해주는 이야기에 귀기울이며 보석처럼 반짝이는 별들이 머무는 이들에게 새 희망을 안겨주는 삶의 휴식공간이 된다. 
또한 조개잡이 갯벌체험/ 바비큐 파티/ 사륜오토바이 대여/ 배낚시안내/ 항공체험비할인/ 오션스파 할인 등으로 잊을 수 없는 추억을 더해 준다.",2층,nan,10실,원룸/ VIP룸,가능,가능,15:00,익일 11:00,010-8668-7858,"<a href=""http://www.soopyengsun.com"" target=""_blank"" title=""새창 : 수평선펜션 홈페이지로 이동"">http://www.soopyengsun.com</a>",nan,nan,없음,"객실명:해바라기(VIP)
객실크기:18평
객실수:0
기준인원:5최대인원:10
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:180000(성수기: 350000)
비수기주말최소:220000(성수기: 350000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:Y
케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:히야신스
객실크기:16평
객실수:0
기준인원:2최대인원:5
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:90000(성수기: 200000)
비수기주말최소:140000(성수기: 200000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:Y
케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:장미/라일락
객실크기:15평
객실수:0
기준인원:2최대인원:4
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:80000(성수기: 180000)
비수기주말최소:120000(성수기: 180000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:Y
케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:매화
객실크기:13평
객실수:0
기준인원:2최대인원:4
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:80000(성수기: 180000)
비수기주말최소:120000(성수기: 180000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:Y
케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:봉선화
객실크기:13평
객실수:0
기준인원:2최대인원:4
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:90000(성수기: 200000)
비수기주말최소:140000(성수기: 200000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:Y
케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:자스민
객실크기:15평
객실수:0
기준인원:2최대인원:4
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:80000(성수기: 170000)
비수기주말최소:110000(성수기: 170000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:Y
케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:사랑채
객실크기:13평
객실수:0
기준인원:2최대인원:4
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:70000(성수기: 160000)
비수기주말최소:100000(성수기: 160000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:Y
케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:후리지아(VIP)
객실크기:20평
객실수:0
기준인원:5최대인원:8
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:180000(성수기: 350000)
비수기주말최소:220000(성수기: 350000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:Y
케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:수선화
객실크기:16평
객실수:0
기준인원:2최대인원:5
※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:90000(성수기: 200000)
비수기주말최소:140000(성수기: 200000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:Y
케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:Y
",nan
강이 있는 풍경 (강이 있는 풍경 펜션),010-5287-3375,경상북도 문경시 마성면 구랑로 333,예쁜카페와 아름다운 정원/ 조용함을 즐기는 품격있는 곳이다.,175평,22명,7,nan,주차 가능(10대),nan,15:00,11:00,전화번호,nan,불가능,있음,없음,nan,nan
동구박펜션(동구박 관광펜션),010-5351-8685,경기도 용인시 처인구 원삼면 두창호수로 245,편히 쉬어갈 수 있는 공간이다. 야외 테라스가 설치되어 있으며 마당 앞에서 축구나 족구/ 배구를 즐길 수 있다.,58평,40명,3,nan,주차 가능(20대),nan,15:00,11:00,전화/ 홈페이지,nan,가능,nan,없음,nan,nan
Enjoy Busan,010-6578-2102,부산광역시 동구 망양로 882(범일동),#본 업소는 외국인관광 도시민박업으로 외국인만 이용이 가능하며 내국인은 이용할 수 없습니다.<br><br>외국인전용(Foreigner Only) 숙박 업소이다.,nan,5명,2,nan,주차 가능(2대),nan,14:00,11:00,전화,nan,불가능,nan,없음,nan,nan
온마루,010-5011-6308,경상북도 경주시 하동당숲길 23-5(하동),개별 온수 수영장이 있는 한옥 펜션이다.,12평/ 단독한옥,16,4,nan,주차 가능(10대),nan,15시,11시,전화,nan,가능,nan,없음,nan,nan
풀하우스,041-674-0409,충청남도 태안군 근흥면 용도로 104,"충남 태안군 근흥면 도황리에 위치해 탁 트인 바다가 시원스레 한눈에 펼쳐지는 풀하우스펜션은 전 객실에서 백사장과 연포해수욕장을 바라볼 수 있는 전망 좋은 곳이다. 더위에 지치고 일상에 지친 여름 시원한 바다가 보이는 곳에 앉아 갓 잡아 올린 싱싱한 생선회와 지글거리는 조개구이를 먹으며 피로를 말끔하게 날릴 수 있다.
풀하우스는 깨끗하고 깔끔한 분위기의 인테리어로 총 침대방 3개/ 온돌방 6개/ 투룸 1개로 이루어져 있어 회사/ MT/ OT/ 야유회와 같이 단체로 이용하는 이들에게 불편함 없이 여행을 즐길 수 있다. 또한 일상에서 맛보기 힘든 바다낚시를 원하는 이들에게 낚싯배를 알선하고 있다. 언제나 따뜻한 마음과 더불어 더욱 편안하고 안락한 분위기에서 휴식을 취할 수 있도록 항상 준비되어 있다.",3층,nan,10실,침대방/ 온돌방/ 투룸온돌방,가능,가능,15:00,익일 12:00 (성수기 11:00),nan,nan,nan,nan,없음,"객실명:301호
객실크기:18평
객실수:0
기준인원:6최대인원:8
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:129000(성수기: 0)
비수기주말최소:259000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:101~102호
객실크기:13평
객실수:0
기준인원:4최대인원:6
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:59000(성수기: 0)
비수기주말최소:149000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:201~204/302~304호
객실크기:13평
객실수:0
기준인원:2최대인원:4
※ 위 정보는 2024년 06월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망

비수기주중최소:59000(성수기: 0)
비수기주말최소:139000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:소파:취사용품:Y
테이블:Y
드라이기:Y
",nan
쉘부르황토펜션,010-5328-8232,충청남도 태안군 소원면 파도길 63,"파도리해수욕장 인근에 위치한 쉘부르황토펜션은 편안하고 깔끔한 객실과 아름다운 전망/ 즐거운 식사시간을 보낼 수 있는 바비큐 시설은 물론 객실에 머무는 동안 불편함이 없도록 주방용품도 고루 갖춰져 있다.
맑고 깨끗한 바다가 눈앞에 펼쳐지는 탁 트인 전망을 자랑하며 여름철 물놀이에 제격이다.",nan,nan,5실,1층실/ 2층실,주차 가능,가능,14:00 비수기<br />15:00 성수기,12:00 비수기<br />11:00 성수기,010-5328-8232,"<a href=""http://hwangtops.itrocks.kr"" target=""_blank"" title=""새창 : 쉘부르황토펜션 홈페이지로 이동"">http://hwangtops.itrocks.kr</a>",nan,nan,없음,"객실명:쟈스민 / 라벤더 / 바이올렛 
객실크기:9평
객실수:0
기준인원:2최대인원:4
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:90000(성수기: 160000)
비수기주말최소:110000(성수기: 160000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:객실명:마로니에
객실크기:12평
객실수:0
기준인원:4최대인원:6
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:120000(성수기: 190000)
비수기주말최소:140000(성수기: 190000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:객실명:글로리아
객실크기:9평
객실수:0
기준인원:2최대인원:4
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2024년 05월에 작성된 정보로(정상요금)/ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:80000(성수기: 140000)
비수기주말최소:100000(성수기: 140000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:Y
테이블:드라이기:",nan
